PaymentBrand;Description
AMEX;
ApplePay;
Bancontact;
BankAxept;
Carnet;
CartesBancaires;
Dankort;
Diners;
Discover;
EftposAustralia;
Elo;
Girocard;
GooglePay;
Hipercard;
Interac;
JCB;
Maestro;
Mastercard;
SamsungPay;
UnionPay;
VPay;
Visa;
