url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,142,91
/sap/e-mobility-charging-stations-simulator,35,25
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,24,12
/SAP/e-mobility-charging-stations-simulator/tree/main,17,9
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,11,3
/SAP/e-mobility-charging-stations-simulator/issues,8,6
/SAP/e-mobility-charging-stations-simulator/pulls,7,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets/station-templates,7,2
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/cli/README.md,6,4
/SAP/e-mobility-charging-stations-simulator/tree/main/docker,6,3
