url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,130,93
/sap/e-mobility-charging-stations-simulator,29,18
/SAP/e-mobility-charging-stations-simulator/tree/main,18,9
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,15,12
/SAP/e-mobility-charging-stations-simulator/tree/main/src,7,5
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/ui-protocol/Insomnia-CSSimulatorUIHTTPProtocol.json,7,4
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,6,5
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,5,5
/SAP/e-mobility-charging-stations-simulator/issues,5,3
/SAP/e-mobility-charging-stations-simulator/pulls,5,3
