url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,157,90
/sap/e-mobility-charging-stations-simulator,31,21
/SAP/e-mobility-charging-stations-simulator/tree/main,19,9
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,11,10
/SAP/e-mobility-charging-stations-simulator/issues,5,5
/SAP/e-mobility-charging-stations-simulator/tree/main/src,5,5
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,5,4
/SAP/e-mobility-charging-stations-simulator/pulls,5,3
/SAP/e-mobility-charging-stations-simulator/blob/main/LICENSE,4,4
/SAP/e-mobility-charging-stations-simulator/security,4,2
