referrer,views_total,views_unique
github.com,105,37
Google,96,32
teams.public.onecdn.static.microsoft,20,7
chatgpt.com,10,5
search.sap.com,3,2
Bing,2,2
swishforgood.atlassian.net,2,2
app.clickup.com,1,1
terawattinfrastructure.atlassian.net,1,1
