url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,195,92
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,25,13
/sap/e-mobility-charging-stations-simulator,22,16
/SAP/e-mobility-charging-stations-simulator/issues,20,7
/SAP/e-mobility-charging-stations-simulator/tree/main,17,7
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,15,6
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,12,7
/SAP/e-mobility-charging-stations-simulator/tree/main/src,8,6
/SAP/e-mobility-charging-stations-simulator/pulls,7,7
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets/station-templates,7,4
