url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,103,66
/sap/e-mobility-charging-stations-simulator,17,12
/SAP/e-mobility-charging-stations-simulator/tree/main,14,8
/SAP/e-mobility-charging-stations-simulator/issues,12,7
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,10,8
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,8,5
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,7,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src,5,4
/SAP/e-mobility-charging-stations-simulator/blob/main/.github/copilot-instructions.md,4,4
/SAP/e-mobility-charging-stations-simulator/pulls,4,4
