url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,131,84
/sap/e-mobility-charging-stations-simulator,36,28
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,28,19
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,13,7
/SAP/e-mobility-charging-stations-simulator/tree/main,11,8
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets/station-templates,10,5
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/cli/README.md,7,4
/SAP/e-mobility-charging-stations-simulator/releases,7,3
/SAP/e-mobility-charging-stations-simulator/discussions,5,4
/SAP/e-mobility-charging-stations-simulator/pulls,5,3
