url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,141,90
/sap/e-mobility-charging-stations-simulator,34,26
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,25,18
/SAP/e-mobility-charging-stations-simulator/tree/main,11,8
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,10,7
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets/station-templates,9,4
/SAP/e-mobility-charging-stations-simulator/releases,7,3
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/cli/README.md,6,3
/SAP/e-mobility-charging-stations-simulator/tree/main/.opencode,5,5
/SAP/e-mobility-charging-stations-simulator/pulls,5,3
