url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,137,79
/sap/e-mobility-charging-stations-simulator,26,16
/SAP/e-mobility-charging-stations-simulator/tree/main,15,7
/SAP/e-mobility-charging-stations-simulator/issues,7,5
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,6,6
/SAP/e-mobility-charging-stations-simulator/tree/main/.github,6,2
/SAP/e-mobility-charging-stations-simulator/discussions,5,5
/SAP/e-mobility-charging-stations-simulator/tree/main/.agents/skills/qmd,4,3
/SAP/e-mobility-charging-stations-simulator/pulls,4,1
/SAP/e-mobility-charging-stations-simulator/blob/main/LICENSE,3,3
