referrer,views_total,views_unique
github.com,99,33
Google,79,28
teams.public.onecdn.static.microsoft,18,6
chatgpt.com,11,6
search.sap.com,3,2
swishforgood.atlassian.net,2,2
Bing,1,1
app.clickup.com,1,1
terawattinfrastructure.atlassian.net,1,1
wiki.one.int.sap,1,1
