url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,209,99
/sap/e-mobility-charging-stations-simulator,24,17
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,23,15
/SAP/e-mobility-charging-stations-simulator/tree/main,18,7
/SAP/e-mobility-charging-stations-simulator/issues,17,7
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,12,4
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,11,5
/SAP/e-mobility-charging-stations-simulator/releases,8,3
/SAP/e-mobility-charging-stations-simulator/pulls,7,7
/SAP/e-mobility-charging-stations-simulator/releases/tag/ocpp-server@v4.11.0,7,7
