url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,129,80
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,19,10
/sap/e-mobility-charging-stations-simulator,15,13
/SAP/e-mobility-charging-stations-simulator/issues,13,7
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,11,10
/SAP/e-mobility-charging-stations-simulator/tree/main,7,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src,7,5
/SAP/e-mobility-charging-stations-simulator/pulls,5,4
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,5,3
/SAP/e-mobility-charging-stations-simulator/actions,4,4
