referrer,views_total,views_unique
github.com,105,34
Google,67,25
teams.public.onecdn.static.microsoft,18,6
chatgpt.com,11,6
search.sap.com,3,2
Bing,1,1
app.clickup.com,1,1
swishforgood.atlassian.net,1,1
terawattinfrastructure.atlassian.net,1,1
wiki.one.int.sap,1,1
