url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,142,86
/sap/e-mobility-charging-stations-simulator,36,26
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,27,16
/SAP/e-mobility-charging-stations-simulator/tree/main,18,11
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,12,5
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/cli/README.md,8,5
/SAP/e-mobility-charging-stations-simulator/pulls,8,5
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets/station-templates,8,3
/SAP/e-mobility-charging-stations-simulator/tree/main/docker,7,4
/SAP/e-mobility-charging-stations-simulator/issues,5,5
