referrer,views_total,views_unique
Google,123,42
github.com,96,34
teams.public.onecdn.static.microsoft,19,7
chatgpt.com,13,6
Bing,2,2
swishforgood.atlassian.net,2,2
app.clickup.com,1,1
search.sap.com,1,1
terawattinfrastructure.atlassian.net,1,1
