url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,113,68
/sap/e-mobility-charging-stations-simulator,16,15
/SAP/e-mobility-charging-stations-simulator/pulls,10,7
/SAP/e-mobility-charging-stations-simulator/issues,8,6
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,8,5
/SAP/e-mobility-charging-stations-simulator/tree/main,7,5
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,6,3
/SAP/e-mobility-charging-stations-simulator/discussions,5,5
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,5,2
/SAP/e-mobility-charging-stations-simulator/pull/1063,4,4
