url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,212,111
/sap/e-mobility-charging-stations-simulator,28,19
/SAP/e-mobility-charging-stations-simulator/tree/main,11,10
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,9,7
/SAP/e-mobility-charging-stations-simulator/issues,8,7
/SAP/e-mobility-charging-stations-simulator/commits/main,8,3
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,7,5
/SAP/e-mobility-charging-stations-simulator/graphs/contributors,6,3
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,5,5
/SAP/e-mobility-charging-stations-simulator/releases,5,3
