url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,109,75
/sap/e-mobility-charging-stations-simulator,21,13
/SAP/e-mobility-charging-stations-simulator/tree/main,18,9
/SAP/e-mobility-charging-stations-simulator/issues,12,7
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,10,9
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,9,6
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,7,6
/SAP/e-mobility-charging-stations-simulator/pulls,6,5
/SAP/e-mobility-charging-stations-simulator/tree/main/src,6,5
/SAP/e-mobility-charging-stations-simulator/blob/main/.github/copilot-instructions.md,4,4
