referrer,views_total,views_unique
github.com,94,34
Google,37,27
teams.public.onecdn.static.microsoft,11,5
chatgpt.com,8,4
vendpago.bitrix24.com.br,3,3
search.sap.com,3,2
Bing,2,2
search.brave.com,2,1
terawattinfrastructure.atlassian.net,2,1
app.clickup.com,1,1
