url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,135,80
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,19,10
/SAP/e-mobility-charging-stations-simulator/issues,19,7
/sap/e-mobility-charging-stations-simulator,16,13
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,12,4
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,9,9
/SAP/e-mobility-charging-stations-simulator/tree/main/src,9,5
/SAP/e-mobility-charging-stations-simulator/tree/main,7,5
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,5,3
/SAP/e-mobility-charging-stations-simulator/actions,4,4
