url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,120,71
/sap/e-mobility-charging-stations-simulator,17,15
/SAP/e-mobility-charging-stations-simulator/pulls,10,6
/SAP/e-mobility-charging-stations-simulator/issues,9,6
/SAP/e-mobility-charging-stations-simulator/discussions,7,7
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,7,5
/SAP/e-mobility-charging-stations-simulator/tree/main,6,4
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,6,3
/SAP/e-mobility-charging-stations-simulator/pull/1063,4,4
/SAP/e-mobility-charging-stations-simulator/pull/1338,4,4
