url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,201,111
/sap/e-mobility-charging-stations-simulator,28,19
/SAP/e-mobility-charging-stations-simulator/tree/main,9,9
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,9,8
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,9,7
/SAP/e-mobility-charging-stations-simulator/commits/main,8,3
/SAP/e-mobility-charging-stations-simulator/issues,6,5
/SAP/e-mobility-charging-stations-simulator/tree/main/docker,5,5
/SAP/e-mobility-charging-stations-simulator/blob/main/.github/copilot-instructions.md,4,4
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,4,4
