referrer,views_total,views_unique
github.com,99,36
Google,42,28
teams.public.onecdn.static.microsoft,17,5
chatgpt.com,11,6
vendpago.bitrix24.com.br,3,3
search.sap.com,3,2
Bing,2,2
terawattinfrastructure.atlassian.net,2,1
app.clickup.com,1,1
swishforgood.atlassian.net,1,1
