url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,152,82
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,26,12
/sap/e-mobility-charging-stations-simulator,16,10
/SAP/e-mobility-charging-stations-simulator/issues,16,7
/SAP/e-mobility-charging-stations-simulator/tree/main,16,6
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,15,10
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,15,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src,8,5
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets/station-templates,7,4
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,6,4
