time_iso8601,stars_cumulative
2022-05-18 00:00:00+00:00,1
2022-06-17 00:00:00+00:00,2
2022-08-08 00:00:00+00:00,3
2022-10-28 00:00:00+00:00,4
2023-01-07 00:00:00+00:00,5
2023-02-01 00:00:00+00:00,6
2023-03-27 00:00:00+00:00,7
2023-04-08 00:00:00+00:00,8
2023-05-02 00:00:00+00:00,9
2023-05-09 00:00:00+00:00,10
2023-05-26 00:00:00+00:00,11
2023-05-27 00:00:00+00:00,12
2023-05-28 00:00:00+00:00,13
2023-05-31 00:00:00+00:00,14
2023-06-02 00:00:00+00:00,15
2023-06-03 00:00:00+00:00,17
2023-06-07 00:00:00+00:00,19
2023-06-19 00:00:00+00:00,20
2023-06-22 00:00:00+00:00,21
2023-06-25 00:00:00+00:00,22
2023-06-29 00:00:00+00:00,23
2023-07-03 00:00:00+00:00,24
2023-07-04 00:00:00+00:00,25
2023-07-06 00:00:00+00:00,26
2023-07-08 00:00:00+00:00,27
2023-07-10 00:00:00+00:00,28
2023-07-13 00:00:00+00:00,29
2023-07-28 00:00:00+00:00,30
2023-08-06 00:00:00+00:00,31
2023-08-09 00:00:00+00:00,32
2023-08-16 00:00:00+00:00,33
2023-09-04 00:00:00+00:00,34
2023-09-09 00:00:00+00:00,35
2023-09-15 00:00:00+00:00,36
2023-09-16 00:00:00+00:00,37
2023-09-28 00:00:00+00:00,38
2023-10-02 00:00:00+00:00,39
2023-10-09 00:00:00+00:00,41
2023-10-14 00:00:00+00:00,43
2023-10-19 00:00:00+00:00,44
2023-10-22 00:00:00+00:00,45
2023-10-25 00:00:00+00:00,46
2023-10-30 00:00:00+00:00,47
2023-10-31 00:00:00+00:00,48
2023-11-05 00:00:00+00:00,51
2023-11-07 00:00:00+00:00,52
2023-11-09 00:00:00+00:00,53
2023-11-13 00:00:00+00:00,54
2023-11-17 00:00:00+00:00,55
2023-11-24 00:00:00+00:00,56
2023-11-29 00:00:00+00:00,57
2023-12-10 00:00:00+00:00,59
2023-12-12 00:00:00+00:00,60
