time_iso8601,forks_cumulative
2022-10-10 00:00:00+00:00,1
2022-10-22 00:00:00+00:00,2
2023-03-23 00:00:00+00:00,3
2023-04-23 00:00:00+00:00,4
2023-05-22 00:00:00+00:00,5
2023-05-30 00:00:00+00:00,6
2023-06-03 00:00:00+00:00,7
2023-06-14 00:00:00+00:00,8
2023-08-05 00:00:00+00:00,9
2023-08-24 00:00:00+00:00,10
2023-10-03 00:00:00+00:00,11
2023-10-04 00:00:00+00:00,12
2023-10-30 00:00:00+00:00,13
2023-10-31 00:00:00+00:00,15
2023-11-15 00:00:00+00:00,16
2023-11-23 00:00:00+00:00,17
2023-12-12 00:00:00+00:00,18
2023-12-26 00:00:00+00:00,19
2024-01-02 00:00:00+00:00,20
2024-01-18 00:00:00+00:00,21
2024-01-26 00:00:00+00:00,22
2024-02-08 00:00:00+00:00,23
2024-02-13 00:00:00+00:00,24
2024-02-18 00:00:00+00:00,25
2024-03-04 00:00:00+00:00,26
2024-03-08 00:00:00+00:00,27
2024-03-12 00:00:00+00:00,28
2024-03-25 00:00:00+00:00,29
2024-03-26 00:00:00+00:00,30
2024-04-02 00:00:00+00:00,31
2024-04-09 00:00:00+00:00,32
2024-04-20 00:00:00+00:00,33
2024-04-24 00:00:00+00:00,34
2024-05-12 00:00:00+00:00,35
2024-05-27 00:00:00+00:00,36
2024-05-30 00:00:00+00:00,37
2024-06-03 00:00:00+00:00,38
2024-06-05 00:00:00+00:00,39
2024-06-20 00:00:00+00:00,40
2024-07-01 00:00:00+00:00,41
2024-07-09 00:00:00+00:00,42
2024-07-18 00:00:00+00:00,43
2024-09-17 00:00:00+00:00,44
2024-09-30 00:00:00+00:00,45
2024-10-15 00:00:00+00:00,46
2024-10-16 00:00:00+00:00,47
2024-10-18 00:00:00+00:00,48
2024-10-23 00:00:00+00:00,49
2024-10-30 00:00:00+00:00,50
2024-11-23 00:00:00+00:00,51
2025-01-04 00:00:00+00:00,52
2025-01-13 00:00:00+00:00,53
2025-01-20 00:00:00+00:00,54
2025-02-09 00:00:00+00:00,55
2025-02-10 00:00:00+00:00,56
2025-02-25 00:00:00+00:00,57
2025-03-04 00:00:00+00:00,58
2025-03-05 00:00:00+00:00,59
2025-03-07 00:00:00+00:00,60
2025-03-08 00:00:00+00:00,61
2025-03-13 00:00:00+00:00,62
2025-04-17 00:00:00+00:00,63
2025-05-03 00:00:00+00:00,64
2025-05-13 00:00:00+00:00,65
2025-06-04 00:00:00+00:00,66
2025-06-10 00:00:00+00:00,67
2025-06-26 00:00:00+00:00,68
2025-07-10 00:00:00+00:00,69
2025-07-15 00:00:00+00:00,70
2025-07-22 00:00:00+00:00,71
2025-10-07 00:00:00+00:00,72
2025-10-28 00:00:00+00:00,73
2025-10-29 00:00:00+00:00,74
2025-11-11 00:00:00+00:00,75
2025-11-21 00:00:00+00:00,76
2026-01-01 00:00:00+00:00,77
2026-01-20 00:00:00+00:00,78
2026-01-21 00:00:00+00:00,79
2026-01-22 00:00:00+00:00,80
2026-02-09 00:00:00+00:00,81
2026-02-13 00:00:00+00:00,82
2026-03-11 00:00:00+00:00,83
2026-04-02 00:00:00+00:00,84
2026-04-20 00:00:00+00:00,85
2026-05-06 00:00:00+00:00,86
2026-05-14 00:00:00+00:00,88
2026-06-14 00:00:00+00:00,89
2026-07-13 00:00:00+00:00,90
